bisonID,basisOfRecord,catalogNumber,collectorNumber,recordedBy,providerID,institutionCode,resourceID,ownerInstitutionCollectionCode,eventDate,year,verbatimEventDate,providedScientificName,scientificName,ITISscientificName,providedCommonName,ITIScommonName,ITIStsn,validAcceptedITIStsn,providedTSN,decimalLatitude,decimalLongitude,geodeticDatum,coordinatePrecision,coordinateUncertaintyInMeters,verbatimElevation,verbatimDepth,centroid,higherGeographyID,computedCountyFips,providedCounty,calculatedCounty,providedState,calculatedState,mrgid,calculated_waterbody,establishmentMeans,countryCode,institutionID,collectionID,relatedResourceID,associatedMedia,associatedReferences,generalComments,license
63086517,fossil,195598,,,108,"Marine Science Institute, UCSB","108,563",Paleobiology Database,,,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,32.900001525878906,-117.0999984741211,,,,,,,,06073,San Diego,San Diego County,California,California,,,AK,US,http://msi.ucsb.edu,http://paleodb.org,,,,,CC_BY_4_0
63086591,fossil,195690,,,108,"Marine Science Institute, UCSB","108,563",Paleobiology Database,,,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,32.900001525878906,-117.0999984741211,,,,,,,,06073,San Diego,San Diego County,California,California,,,AK,US,http://msi.ucsb.edu,http://paleodb.org,,,,,CC_BY_4_0
63086607,fossil,195721,,,108,"Marine Science Institute, UCSB","108,563",Paleobiology Database,,,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,32.900001525878906,-117.0999984741211,,,,,,,,06073,San Diego,San Diego County,California,California,,,AK,US,http://msi.ucsb.edu,http://paleodb.org,,,,,CC_BY_4_0
63101084,fossil,196637,,,108,"Marine Science Institute, UCSB","108,563",Paleobiology Database,,,,"Puma concolor (Linnaeus, 1771)",Puma concolor,Puma concolor,,Cougar;mountain lion;Puma;Puma,552479,552479,,34.79999923706055,-117.0,,,,,,,,06071,San Bernardino,San Bernardino County,California,California,,,AK,US,http://msi.ucsb.edu,http://paleodb.org,,,,,CC_BY_4_0
68853905,specimen,129338,,C. C. Tyles,49,Field Museum,"49,202125",Field Museum of Natural History (Zoology) Mammal Collection,,,,"Puma concolor subsp. stanleyana (Goldman, 1938)",Puma concolor stanleyana,Puma concolor couguar,,eastern cougar;eastern puma,552791,622093,,,,,,,,,,,,Duvall Co,,Texas,,,,,US,http://www.fieldmuseum.org/,http://fieldmuseum.org/explore/department/zoology/mammals/collections,,,,,CC0_1_0
68558533,specimen,154390,4520,"Collector(s): Carl B. Koford, G. W. Carroll",124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),,,1969,"Puma concolor subsp. kaibabensis (Nelson & Goldman, 1931)",Puma concolor kaibabensis,Puma concolor couguar,,eastern cougar;eastern puma,552786,622093,,,,,,,,,,,,,,Nevada,,,,,US,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
68558841,specimen,154377,4507,"Collector(s): Carl B. Koford, G. W. Carroll",124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),1969-03-18T01:00Z,1969,18 Mar 1969,"Puma concolor subsp. kaibabensis (Nelson & Goldman, 1931)",Puma concolor kaibabensis,Puma concolor couguar,,eastern cougar;eastern puma,552786,622093,,,,,,,,,,,,White Pine County,,Nevada,,,,,US,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
68558890,specimen,154382,4512,"Collector(s): Carl B. Koford, G. W. Carroll",124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),1968-10-03T01:00Z,1968,3 Oct 1968,"Puma concolor subsp. kaibabensis (Nelson & Goldman, 1931)",Puma concolor kaibabensis,Puma concolor couguar,,eastern cougar;eastern puma,552786,622093,,,,,,,,,,,,White Pine County,,Nevada,,,,,US,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
68558910,specimen,154397,4527,"Collector(s): Carl B. Koford, G. W. Carroll",124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),,,1969,"Puma concolor subsp. kaibabensis (Nelson & Goldman, 1931)",Puma concolor kaibabensis,Puma concolor couguar,,eastern cougar;eastern puma,552786,622093,,,,,,,,,,,,,,Nevada,,,,,US,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
68558938,specimen,154392,4522,"Collector(s): Carl B. Koford, G. W. Carroll",124,Museum of Vertebrate Zoology,"124,202753",MVZ Mammal Collection (Arctos),,,1969,"Puma concolor subsp. kaibabensis (Nelson & Goldman, 1931)",Puma concolor kaibabensis,Puma concolor couguar,,eastern cougar;eastern puma,552786,622093,,,,,,,,,,,,,,Nevada,,,,,US,http://mvz.berkeley.edu,http://mvz.berkeley.edu/Mammal_Collection.html,,,,,CC0_1_0
